date,symbol,price,price_usd,change_in_value_try,change_in_value_usd,change_in_prcntg_try,change_in_prcntg_usd
2021-01-04,GARAN.IS,8.486,1.1416655455401588,,,,
2021-01-05,GARAN.IS,8.289,1.1168148746968471,-0.19700000000000095,-0.024850670843311606,-0.02321470657553626,-0.021767032333058545
2021-01-06,GARAN.IS,8.543,1.156960996749729,0.25399999999999956,0.040146122052881816,0.030643020871033766,0.03594698007920005
2021-01-07,GARAN.IS,8.642,1.183835616438356,0.0990000000000002,0.026874619688627144,0.011588434976003814,0.023228630666138672
2021-01-08,GARAN.IS,8.864,1.2097720758837178,0.2220000000000013,0.025936459445361715,0.025688498032862883,0.021908835217674172
2021-01-11,GARAN.IS,8.576,1.1655341125305791,-0.28800000000000026,-0.044237963353138676,-0.032490974729241895,-0.03656718834481576
2021-01-12,GARAN.IS,8.617,1.1532387580299786,0.04100000000000037,-0.012295354500600597,0.004780783582089665,-0.010549115953290444
2021-01-13,GARAN.IS,8.626,1.1583187860883577,0.008999999999998565,0.005080028058379149,0.0010444470233257341,0.004405009823860828
2021-01-14,GARAN.IS,8.461,1.144306194211523,-0.16499999999999915,-0.01401259187683479,-0.019128217018316573,-0.01209735354820185
2021-01-15,GARAN.IS,8.24,1.1186532717893023,-0.22100000000000009,-0.025652922422220614,-0.026119843990072056,-0.02241788303863601
2021-01-18,GARAN.IS,8.305,1.1149147536582091,0.0649999999999995,-0.0037385181310931603,0.007888349514562965,-0.0033419811351494966
2021-01-19,GARAN.IS,8.338,1.1154515050167224,0.032999999999999474,0.0005367513585132766,0.003973509933774766,0.0004814281600922232
2021-01-20,GARAN.IS,8.256,1.1058130190195554,-0.08199999999999896,-0.00963848599716699,-0.009834492684096752,-0.008640883044953585
2021-01-21,GARAN.IS,8.256,1.114019700445284,0.0,0.008206681425728668,0.0,0.007421400620698959
2021-01-22,GARAN.IS,8.01,1.0874287265815912,-0.24600000000000044,-0.026590973863692913,-0.029796511627906974,-0.023869392842033488
2021-01-25,GARAN.IS,7.845,1.0575626853599351,-0.16500000000000004,-0.029866041221656037,-0.02059925093632964,-0.027464826421812583
2021-01-26,GARAN.IS,7.821,1.0558930741190764,-0.02400000000000002,-0.0016696112408587371,-0.003059273422562181,-0.001578735013982202
2021-01-27,GARAN.IS,7.484,1.0186470668299985,-0.33699999999999974,-0.0372460072890779,-0.04308911903848611,-0.03527441196652603
2021-01-28,GARAN.IS,7.714,1.043560606060606,0.23000000000000043,0.024913539230607462,0.030732228754676738,0.024457478985472125
2021-01-29,GARAN.IS,7.648,1.0411108086033214,-0.06600000000000072,-0.002449797457284575,-0.008555872439720114,-0.0023475373093398977
2021-02-01,GARAN.IS,7.788,1.0700741962077496,0.14000000000000057,0.02896338760442818,0.01830543933054396,0.02781969735121992
2021-02-02,GARAN.IS,7.96,1.1078636047320807,0.1719999999999997,0.0377894085243311,0.022085259373394894,0.03531475542373941
2021-02-03,GARAN.IS,8.297,1.1534825524815795,0.33700000000000063,0.04561894774949882,0.04233668341708552,0.04117740446986806
